	1	2	3	4
Rhodobacterales	0.2313237072013504	0.09803921568627451	0.11588009607286566	0.0837864995862395
Rhizobiales	0.12409042177056959	0.09958350882118958	0.09441966374497021	0.09942073531150254
Desulfobacterales	0.15333378954811924	0.061584538349946184	0.03902180354970523	0.06300981203451944
Bacteria unclassified	0.03535664590889391	0.07730825026908138	0.06419414205059422	0.0753930724671947
Proteobacteria unclassified	0.03234562832181391	0.05971266788338247	0.04738139056115288	0.06764984040666745
Chromatiales	0.04571272154930541	0.043193411015957694	0.027355812720296954	0.03957323560704575
Alphaproteobacteria unclassified	0.03341773306872876	0.03954326360615845	0.035091549954770894	0.03428301217638019
Rhodospirillales	0.03293870754351148	0.039496466844494364	0.03044386911631679	0.03839106277337747
Burkholderiales	0.021145555327448162	0.036454677336328324	0.02835397236345488	0.03744532450644284
Nonspecific/Host	0.013686443577636351	0.028499227853432542	0.08178670576125269	0.03360326279702092
Actinobacteria unclassified	0.013960172449189078	0.036127100004679676	0.02960167191740229	0.0339283603262797
Myxococcales	0.005862359999087571	0.023632364640366887	0.023612714058454724	0.025948693699018796
Sphingomonadales	0.0225141996852118	0.02040338808554448	0.022801709348388908	0.01997872088899397
Desulfovibrionales	0.017678322954446955	0.030043520988347606	0.022832901837237594	0.033219056626078734
Gammaproteobacteria unclassified	0.012910878441570291	0.019982217230567645	0.018840263264605882	0.019328525830476416
Bacillales	0.003307557197928785	0.004539285881417006	0.022645746904145482	0.005851755526657998
Pseudomonadales	0.011017587079997263	0.015255744302494267	0.012414610561776724	0.016107104858730348
Deltaproteobacteria unclassified	0.007162572138963024	0.02101174598717769	0.011291680963224056	0.01997872088899397
Bacteroidales	0.009785807158009991	0.008002246244559877	0.006706385102467326	0.0058813098474997045
Chroococcales	0.029357421474029973	0.0012635125649305067	0.01597055429052684	0.0018323678921858375
Xanthomonadales	0.0065010606993772665	0.010622864897749076	0.008546741944539755	0.009930251802813572
Betaproteobacteria unclassified	0.005930792216975752	0.013149890027610089	0.007829314701019994	0.013417661662135004
Micrococcales	0.0042884189876593905	0.01052927137442089	0.009451324121151627	0.00942782834850455
Oscillatoriales	0.0072994365747393875	0.0008891384716177641	0.027854892541875915	0.0010935098711431612
Desulfuromonadales	0.004813065991468784	0.011418409846038655	0.0072678499017436605	0.012974346849509398
Corynebacteriales	0.0033759894158169666	0.007908652721231691	0.007174272435197604	0.008629861685778461
Oceanospirillales	0.006318574785008782	0.0037905376947915204	0.003836676128388284	0.00472869133467313
Eurotiales	2.2810739296060585e-05	0.0	0.00923297669921083	0.0
Terrabacteria group unclassified	0.003467232373001209	0.007534278627918948	0.008609126922237125	0.007299917247901643
Streptomycetales	0.0031022605442642395	0.006879123964621648	0.00595776537009888	0.007891003664735784
Eukaryota unclassified	0.00392344715892242	0.004492489119752913	0.006831155057862067	0.005467549355715805
Planctomycetales	0.0013002121398754533	0.008797791192849454	0.006893540035559437	0.006767939472750916
Alteromonadales	0.0022354524510139373	0.0010763255182741354	0.0016220094201316324	0.0012117271545099893
Clostridiales	0.0024863705832706036	0.007393888342926669	0.005645840481612028	0.0057926468849745835
Halanaerobiales	0.0020301557973493923	0.0	0.0	0.0
Planctomycetes unclassified	0.0014370765756518168	0.006925920726285741	0.0036495211952961727	0.007743232060527249
Caulobacterales	0.004128743812586966	0.0038373344564556133	0.0040550235503290805	0.0036351814635299682
Phycisphaerae unclassified	0.001482698054243938	0.0072534980579343905	0.0040550235503290805	0.007506797493793593
Rhodocyclales	0.0030110175870799974	0.0036033506481351492	0.002900901462927727	0.00452181108878118
Enterobacteriales	0.002075777275941513	0.004164911788104264	0.0046476808384541	0.0034578555384797258
Cytophagales	0.011724719998175141	0.0004211708549768356	0.001060544620855298	0.0005615320959924341
Bacteroidetes unclassified	0.008485595018134538	0.0013571060882586925	0.002495399107894819	0.00150727036292706
Acidobacteria unclassified	0.0013002121398754533	0.003930927979783799	0.0033687887956580054	0.0033691925759546048
Spirochaetales	0.0052920915166860556	0.003275773316486499	0.004460525905361988	0.00200969381723608
Unclassified Bacteria unclassified	0.0014598873149478774	0.0031353830314942207	0.0039302535949343395	0.004758245655514836
Verrucomicrobia unclassified	0.0029882068477839366	0.0057092049230193275	0.0053339155931251755	0.0008570753044095047
Opitutales	0.002098588015237574	0.00477326968973747	0.0028385164852303565	0.004699137013831422
Phycisphaerales	0.0012774014005793928	0.003088586269830128	0.0030880563960198385	0.002925877763328999
Desulfarculales	0.0020301557973493923	0.004960456736393842	0.0020275117751645403	0.004551365409622887
Propionibacteriales	0.0007755651360660599	0.0019654639898918995	0.0033687887956580054	0.0023938999881782715
Anaerolineales	0.0003193503501448482	0.005007253498057934	0.0040550235503290805	0.004551365409622887
Flavobacteriales	0.002531992061862725	0.001497496373250971	0.001996319286315855	0.0009161839460929187
Verrucomicrobiales	0.001482698054243938	0.0034629603631428705	0.002495399107894819	0.004669582692989715
Hypocreales	0.0	0.0	0.0	2.955432084170706e-05
Gemmatimonadales	0.0004562147859212117	0.0016846834199073424	0.0020587042640132255	0.003103203688379241
Syntrophobacterales	0.0013458336184675745	0.0052412373063783985	0.002121089241710596	0.004580919730464594
Actinobacteria unclassified	0.0008439973539542417	0.0022462445598764565	0.0026201690632895597	0.0033987468967963115
Methylococcales	0.001482698054243938	0.0023398380832046423	0.0024330141301974486	0.0025121172715450997
Firmicutes unclassified	0.0013458336184675745	0.0025738218915251064	0.0014972394647368914	0.002098356779761201
Streptosporangiales	0.0007071329181778781	0.0026206186531891992	0.002214666708256652	0.002659888875753635
Nostocales	0.00116334770409909	0.0007955449482895784	0.0036495211952961727	0.0005910864168341412
Hydrogenophilales	0.00036497182873696936	0.0013103093265945996	0.0009045821766118718	0.0007979666627260906
Aeromonadales	0.0015055087935399987	0.0019186672282278066	0.0014660469758882061	0.0022461283839697362
Neisseriales	0.000935240311138484	0.0018250737048996209	0.0015284319535855766	0.0019210308547109587
Acidobacteriales	0.00020529665366454526	0.0016378866582432495	0.0014348544870395209	0.0028667691216455846
Solibacterales	0.0004562147859212117	0.0010763255182741354	0.0009357746654605571	0.0014777160420853528
Sphingobacteriales	0.0008439973539542417	4.6796761664092844e-05	0.0009045821766118718	0.00011821728336682824
Bacteroidetes Order II. Incertae sedis	0.00036497182873696936	0.0016378866582432495	0.001341277020493465	0.0018323678921858375
Nevskiales	0.0009580510504345446	0.0013103093265945996	0.001341277020493465	0.0014777160420853528
Unclassified Verrucomicrobia unclassified	0.0	0.0	0.0	0.005083343184773614
Chloroflexales	0.000273728871552727	0.0005615611399691141	0.004117408528026451	0.0016550419671355952
Thermales	0.0004562147859212117	0.001497496373250971	0.0014972394647368914	0.0022165740631280295
Methanosarcinales	0.0001596751750724241	9.359352332818569e-05	6.238497769737047e-05	0.0001477716042085353
Cyanobacteria unclassified	0.0010721047469148476	0.0005615611399691141	0.0032440188402632648	0.00032509752925877764
Solirubrobacterales	0.00038778256803302994	0.0012635125649305067	0.0016220094201316324	0.0016845962879773024
Deinococcales	0.0004562147859212117	0.0007955449482895784	0.0011541220874013538	0.0017732592505024234
Oscillatoriophycideae unclassified	0.0009580510504345446	0.0004211708549768356	0.0020587042640132255	0.00044331481262560585
Chloroflexi unclassified	0.00038778256803302994	0.0015910898965791568	0.0009357746654605571	0.0013890530795602318
Parcubacteria group unclassified	0.0006387007002896964	0.0010763255182741354	0.0008733896877631866	0.0009161839460929187
Clostridia unclassified	0.0004105933073290905	0.0011699190416023211	0.0009045821766118718	0.0014481617212436459
Pseudonocardiales	0.0003193503501448482	0.0008423417099536712	0.0008733896877631866	0.0011821728336682824
Holophagales	0.0004105933073290905	0.0008423417099536712	0.0006238497769737048	0.0011821728336682824
Bacteria candidate phyla unclassified	0.00018248591436848468	0.0018250737048996209	0.0006550422658223899	0.0012412814753516965
Acidimicrobiales	4.562147859212117e-05	0.0009827319949459498	0.0008733896877631866	0.0009457382669346259
Frankiales	0.00038778256803302994	0.0003275773316486499	0.0006550422658223899	0.0006206407376758482
Lactobacillales	0.0005018362645133329	0.000608357901633207	0.0007174272435197604	0.000531977775150727
Nitrosomonadales	2.2810739296060585e-05	0.0	0.0	0.0
Anaerolineae unclassified	4.562147859212117e-05	0.000608357901633207	0.0007486197323684457	0.0017732592505024234
Actinomycetales	0.0003421610894409088	0.0008891384716177641	0.0005614647992763343	0.0005910864168341412
Acidithiobacillales	0.00036497182873696936	0.0004211708549768356	0.0003431173773355376	0.00044331481262560585
Synergistales	0.00018248591436848468	0.001450699611586878	0.0006862347546710752	0.0008275209835677976
Parvularculales	0.00025091813225666643	0.00023398380832046422	0.0008733896877631866	0.0002955432084170706
Prochlorales	0.00020529665366454526	0.00014039028499227853	0.0018091643532237437	0.00011821728336682824
Micromonosporales	0.00025091813225666643	0.0007487481866254855	0.00046788733273027855	0.0006797493793592623
Selenomonadales	0.0002965396108487876	0.0008891384716177641	0.0006550422658223899	0.0007979666627260906
Puniceicoccales	0.0008439973539542417	0.0003275773316486499	0.0004366948438815933	0.00023643456673365647
Coriobacteriales	0.0003193503501448482	0.0005615611399691141	0.0004055023550329081	0.0008275209835677976
Thermoplasmatales	2.2810739296060585e-05	0.0018250737048996209	0.0003119248884868524	0.001536824683768767
Vibrionales	0.0004790255252172723	0.00014039028499227853	0.0005926572881250195	0.0002955432084170706
Armatimonadetes unclassified	9.124295718424234e-05	0.00028078056998455706	0.00028073239963816713	0.0013890530795602318
Cellvibrionales	0.00038778256803302994	9.359352332818569e-05	0.0004366948438815933	0.0007388580210426764
Caldilineales	0.0	0.0008423417099536712	0.0006550422658223899	0.0007684123418843835
Chlorobiales	0.0007071329181778781	4.6796761664092844e-05	0.0002495399107894819	0.00050242345430902
Archaea unclassified	6.843221788818175e-05	0.0013571060882586925	0.0007486197323684457	0.001063955550301454
Halobacteria unclassified	9.124295718424234e-05	0.000608357901633207	0.00037430986618422284	0.0005910864168341412
Thiotrichales	0.0003193503501448482	4.6796761664092844e-05	0.0011229295985526685	0.00017732592505024234
Candidatus Rokubacteria unclassified	0.00018248591436848468	0.0009359352332818569	0.00037430986618422284	0.0005615320959924341
Dehalococcoidia unclassified	2.2810739296060585e-05	0.0010763255182741354	0.00028073239963816713	0.0007979666627260906
Campylobacterales	0.0003193503501448482	0.00037437409331274275	0.00037430986618422284	0.00032509752925877764
Microgenomates group unclassified	0.0001368644357763635	0.0007487481866254855	0.00012476995539474094	0.0002955432084170706
Sphaerobacterales	4.562147859212117e-05	0.0008423417099536712	0.0004366948438815933	0.0005910864168341412
Stigonematales	0.0003193503501448482	4.6796761664092844e-05	0.0007798122212171309	5.910864168341412e-05
Nitrospirales	4.562147859212117e-05	0.00037437409331274275	0.0004366948438815933	0.0002659888875753635
Haloferacales	4.562147859212117e-05	0.00037437409331274275	0.00028073239963816713	0.000531977775150727
Limnochordales	0.0001368644357763635	0.0004211708549768356	0.00028073239963816713	0.0004137604917838988
Euryarchaeota unclassified	9.124295718424234e-05	0.0008891384716177641	0.00021834742194079665	0.00047286913346731294
Thermoanaerobacterales	9.124295718424234e-05	0.0005615611399691141	0.00037430986618422284	0.0003546518501004847
Bifidobacteriales	0.000273728871552727	0.0006551546632972998	0.0003431173773355376	0.0002068802458919494
Halobacteriales	9.124295718424234e-05	0.00018718704665637137	0.00028073239963816713	0.00038420617094219177
Gloeobacterales	0.0	0.00028078056998455706	0.000530272310427649	0.0
Kosmotogales	0.0001596751750724241	0.0	0.0	0.00011821728336682824
Nitrospinales	0.0	0.0	3.1192488848685235e-05	0.0005615320959924341
Ardenticatenales	0.0	0.00023398380832046422	0.0006550422658223899	0.0004137604917838988
Legionellales	0.0001368644357763635	0.0003275773316486499	0.00018715493309211142	8.866296252512117e-05
PVC group unclassified	0.0001596751750724241	0.0003275773316486499	0.00037430986618422284	0.00038420617094219177
Cloacimonetes unclassified	0.00020529665366454526	9.359352332818569e-05	0.00028073239963816713	0.0002955432084170706
Bacilli unclassified	0.0001596751750724241	0.00014039028499227853	0.00012476995539474094	5.910864168341412e-05
Eggerthellales	4.562147859212117e-05	0.00028078056998455706	0.00021834742194079665	0.0002955432084170706
Patescibacteria group unclassified	0.0001596751750724241	0.00023398380832046422	0.00018715493309211142	0.0004137604917838988
FCB group unclassified	2.2810739296060585e-05	9.359352332818569e-05	9.357746654605571e-05	0.0002955432084170706
Nanoarchaeota unclassified	6.843221788818175e-05	0.0004211708549768356	0.00018715493309211142	0.0002659888875753635
Natrialbales	0.0001596751750724241	0.00014039028499227853	0.00012476995539474094	0.00044331481262560585
Leotiomyceta unclassified	0.0	9.359352332818569e-05	0.00046788733273027855	0.0
Candidatus Moranbacteria unclassified	0.0001368644357763635	0.00023398380832046422	0.0002495399107894819	0.00017732592505024234
Methylophilales	0.00011405369648030293	9.359352332818569e-05	0.00021834742194079665	0.00017732592505024234
Candidate division NC10 unclassified	0.0	0.0007955449482895784	0.00021834742194079665	0.0006501950585175553
Rubrobacterales	0.00018248591436848468	0.0	0.0	0.0002659888875753635
Chlamydiales	0.00018248591436848468	9.359352332818569e-05	9.357746654605571e-05	0.00011821728336682824
Marinimicrobia unclassified	6.843221788818175e-05	9.359352332818569e-05	0.00018715493309211142	0.0001477716042085353
